district,area,year,rooms,value,floor,elevator,parking,warehouse
 شهرک غرب ,80,1386,2,6800000000,5,True,True,True
 چیتگر ,50,1397,2,1000000000,4,True,True,True
 پاسداران ,110,1401,2,12100000000,7,True,True,True
 درب دوم ,145,1394,3,15000000000,4,True,True,True
 قیطریه ,128,1400,3,16000000000,1,True,True,True
 آذربایجان,43,1380,1,2130000000,1,False,False,False
 کوهک ,137,1400,2,6850000000,14,True,True,True
 سعادت‌آباد ,98,1401,2,12500000000,2,True,True,True
 فرمانیه ,195,1383,3,24200000000,5,True,True,True
 سعادت‌آباد ,163,1401,3,21870000000,2,True,True,True
 قیطریه,128,1400,3,15500000000,1,True,True,True
 شهرآرا ,136,1400,3,11800000000,1,True,True,True
 ظفر ,107,1385,3,9500000000,2,True,True,True
 شهران جنوبی ,60,1383,2,3700000000,2,False,True,True
 نیاوران ,183,1395,3,26000000000,6,True,True,True
 دریاچه شهدای خلیج فارس ,100,1400,2,1750000000,15,True,True,True
 کامرانیه ,215,1400,3,60000000000,8,True,True,True
 جنت‌آباد مرکزی ,63,1386,2,4200000000,5,True,True,True
 سعادت‌آباد ,88,1388,2,7200000000,1,True,True,True
 کوی فردوس ,76,1388,2,4950000000,3,True,True,True
 شهرک ولیعصر,58,1388,1,1710000000,4,False,False,False
 ولنجک ,210,1400,3,46500000000,12,True,True,True
 زعفرانیه ,280,1400,3,65000000000,6,True,True,True
 دارآباد ,82,1393,2,8000000000,3,True,True,True
 فلاح ,66,1400,1,2310000000,2,True,True,True
 جنت‌آباد مرکزی ,100,1392,2,5600000000,4,True,False,False
 نیاوران ,200,1401,3,42000000000,4,True,True,True
 نیاوران ,235,1395,3,37000000000,6,True,True,True
 پیروزی ,82,1385,2,2740000000,3,False,True,True
 سعادت‌آباد ,138,1394,3,18200000000,2,True,True,True
 پاسداران ,149,1390,3,11600000000,3,True,True,True
 یافت‌آباد,50,1385,1,850000000,2,False,False,False
 دروس ,225,1401,3,47000000000,2,True,True,True
 پونک ,138,1393,3,9660000000,3,True,True,True
 دروس ,320,1401,4,57600000000,4,True,True,True
 میرداماد ,108,1401,2,14450000000,5,True,True,True
 چیتگر ,130,1401,3,1560000000,10,True,True,True
 چیتگر ,92,1401,2,598000000,13,True,True,True
 پاسداران ,180,1399,3,25500000000,2,True,True,True
 دروس ,230,1386,4,23000000000,5,True,True,True
 دروس ,190,1401,3,41000000000,5,True,True,True
 پاسداران ,180,1396,3,21600000000,3,True,True,True
 دروس ,220,1401,3,48000000000,2,True,True,True
 دروس ,220,1396,3,26500000000,2,True,True,True
 دروس ,250,1397,3,25000000000,3,True,True,True
 اختیاریه ,130,1401,3,12500000000,3,True,True,True
 محمودیه ,215,1401,3,70950000000,10,True,True,True
 جیحون ,45,1396,1,1990000000,2,True,False,False
