build_year,neighbour_hood,area,floor,rooms,Parking,Elevator,Warehouse,Luxury_features,price,mean,std,median,amin,amax,neighbour_hood_encoded
1378,نیاوران,115,1.0,2,1,0,1,0,130400000,119301128.8559322,34155648.27073372,120000000.0,21348314.0,200000000.0,20
1385,فرشته,206,6.0,3,1,1,1,0,118000000,120952950.5831435,33940719.24992989,116700000.0,59615384.0,204500000.0,20
1401,چیتگرشمالی,92,7.0,2,1,1,1,1,21913000,20934780.269058295,9706239.765193766,21795000.0,2350000.0,60000000.0,1
1401,فرمانیه,123,5.0,2,1,1,1,0,187000000,122176685.18518518,30659498.346812826,120700000.0,16200000.0,190000000.0,20
1384,سیمونبولیوارپونک,127,1.0,2,1,1,0,0,45300000,53325490.196078435,10321527.854678392,55000000.0,29400000.0,70600000.0,11
1401,نیاوران,230,2.0,3,1,1,0,0,155000000,119301128.8559322,34155648.27073372,120000000.0,21348314.0,200000000.0,20
1380,جنتآبادمرکزی,105,2.0,2,1,0,1,0,45700000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1399,شهرکنفت,119,1.0,3,0,0,0,0,67226890,68279142.0,10960292.036073785,66899038.0,51333333.0,100000000.0,15
1395,پونک,67,4.0,2,0,0,0,0,58208955,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1400,آجودانیه,180,7.0,3,1,1,1,1,138900000,117281005.20143884,30616760.28614428,107894736.0,60700000.0,194915000.0,20
1401,دریاچهشهدایخلیجفارس,90,8.0,2,1,1,1,0,23100000,22830528.66242038,12980441.790903542,22250000.0,1542000.0,65515000.0,2
1385,پونک,76,1.0,2,1,1,1,0,72368000,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1397,گیشا,100,2.0,2,0,0,0,0,90000000,90521901.78823529,18060511.48489818,89285714.0,51020408.0,147727272.0,18
1395,باغفیض,81,4.0,2,1,1,1,0,64198000,58092784.5,10742418.088335035,57875939.0,8108000.0,82000000.0,12
1390,شهرک,70,1.0,2,0,0,0,0,92857142,106405528.20224719,28797479.137912795,99629629.0,51818181.0,184615384.0,19
1395,فرشته,230,2.0,4,1,1,1,0,160900000,120952950.5831435,33940719.24992989,116700000.0,59615384.0,204500000.0,20
1400,یوسفآباد,132,2.0,2,1,1,1,0,119697000,84176880.76646706,16991737.331853233,82853703.5,48969072.0,153846000.0,17
1383,اوقاف,65,2.0,1,0,0,0,0,36769230,47327041.43678161,9038747.770848209,47340425.0,26086956.0,71839080.0,8
1384,شمسآباد,87,2.0,2,1,1,1,0,60000000,62086905.94444445,8169265.474399596,60816666.5,42100000.0,90810810.0,13
1381,شهرکغرب,83,4.0,2,0,1,1,0,78000000,85593560.17830609,26465865.635044355,80800000.0,7500000.0,200000000.0,17
1386,شهرکنفت,114,1.0,2,0,0,0,0,55263157,68279142.0,10960292.036073785,66899038.0,51333333.0,100000000.0,15
1380,سعادتآباد,125,7.0,3,1,1,1,0,48000000,82825233.46999405,29784174.205726072,77419000.0,8700000.0,204500000.0,17
1398,قلهک,103,5.0,2,1,1,1,0,85437000,81550044.10344827,16001902.13975989,79674796.0,47500000.0,127450980.0,17
1389,سهروردیشمالی,215,2.0,5,1,1,1,0,76744000,81612742.53731343,17450377.914115496,80000000.0,13800000.0,148000000.0,17
1391,نارمک,55,2.0,1,0,0,0,0,47272727,56581223.41935484,12740452.100157069,56923076.0,13800000.0,81481481.0,12
1397,جنتآبادمرکزی,71,1.0,2,1,1,1,0,71831000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1401,یوسفآباد,125,4.0,2,1,1,1,0,76800000,84176880.76646706,16991737.331853233,82853703.5,48969072.0,153846000.0,17
1401,گیشا,150,1.0,3,0,0,0,0,106000000,90521901.78823529,18060511.48489818,89285714.0,51020408.0,147727272.0,18
1400,جنتآبادجنوبی,157,5.0,3,1,1,1,0,72600000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1385,امیرآباد,114,2.0,2,1,1,1,0,65800000,80210100.99672131,12461139.369398655,80000000.0,38235000.0,115000000.0,16
1401,ظفر,144,4.0,3,0,0,0,0,100000000,79304783.43010753,13316713.604578326,76000000.0,51428571.0,120000000.0,16
1389,اختیاریه,128,5.0,2,1,1,1,0,89800000,85898004.99168053,16435197.312221156,84200000.0,43947000.0,160000000.0,17
1392,پونک,77,5.0,2,1,1,1,1,69481000,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1388,ونک,145,4.0,3,0,0,0,0,70000000,86598102.72857143,28441730.699856594,84088709.5,9300000.0,152380952.0,17
1385,جنتآبادمرکزی,52,1.0,1,1,1,1,0,65385000,61115740.77374302,10086971.745209087,61950000.0,16504000.0,96700000.0,13
1385,پونک,87,2.0,2,0,0,0,0,57471264,64268619.23232323,15318423.73151411,64800000.0,6364000.0,117400000.0,13
1395,جنتآبادجنوبی,86,4.0,2,1,1,1,0,53488000,60135130.005347595,13104643.369948454,60888000.0,843220.0,91666666.0,13
1400,استخر,69,4.0,2,0,0,0,0,50724637,46048997.75,19167161.196802806,44644562.0,16666666.0,150000000.0,7
